,Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS,Height
20,David West\westda01,0.47100000000000003,0.3,0.2,0.479,0.7390000000000001,1.6,6.8,3.4,0.7,0.7,11.7,81
21,Derrick Favors\favorde01,0.525,0.1,0.16699999999999998,0.527,0.669,2.6,8.2,1.5,0.8,1.7,16.0,82
22,Derrick Williams\willide02,0.447,2.1,0.314,0.511,0.684,0.6,2.7,0.7,0.5,0.1,8.3,80
23,Dirk Nowitzki\nowitdi01,0.45899999999999996,3.6,0.38,0.486,0.882,0.6,5.9,1.9,0.5,0.4,17.3,84
24,Donatas Motiejunas\motiedo01,0.504,1.9,0.368,0.536,0.602,1.9,5.9,1.8,0.8,0.5,12.0,84
25,Draymond Green\greendr01,0.44299999999999995,4.2,0.337,0.523,0.66,1.4,8.2,3.7,1.6,1.3,11.7,79
26,Drew Gooden\goodedr01,0.39899999999999997,1.2,0.39,0.401,0.773,1.4,4.4,1.0,0.4,0.2,5.4,82
28,Ersan Ilyasova\ilyaser01,0.47200000000000003,3.3,0.389,0.515,0.645,1.4,4.8,1.0,0.6,0.3,11.5,82
29,Furkan Aldemir\aldemfu01,0.513,0.1,0.0,0.5479999999999999,0.48100000000000004,1.9,4.3,0.7,0.4,0.4,2.3,82
30,Glen Davis\davisgl01,0.45899999999999996,0.1,0.0,0.466,0.632,0.6,2.3,0.5,0.6,0.3,4.0,81
32,James Johnson\johnsja01,0.589,0.7,0.21600000000000003,0.643,0.657,0.9,3.7,1.4,0.8,1.0,7.9,80
33,Jared Sullinger\sullija01,0.439,3.2,0.28300000000000003,0.494,0.7440000000000001,2.5,7.6,2.3,0.8,0.7,13.3,81
35,Jason Thompson\thompja02,0.47,0.0,0.0,0.47100000000000003,0.622,1.7,6.5,1.0,0.4,0.7,6.1,83
36,Joey Dorsey\dorsejo01,0.552,0.0,0.0,0.556,0.289,1.5,4.0,0.4,0.6,0.4,2.7,80
38,Jon Leuer\leuerjo01,0.44299999999999995,0.5,0.24100000000000002,0.467,0.627,0.8,3.3,0.7,0.3,0.1,4.5,82
39,Jonas Jerebko\jerebjo01,0.446,1.9,0.386,0.48100000000000004,0.848,1.2,3.8,0.9,0.6,0.2,6.0,82
40,Josh Smith\smithjo03,0.419,2.7,0.316,0.451,0.498,1.8,6.4,3.3,1.0,1.4,12.4,81
41,Kenneth Faried\farieke01,0.507,0.1,0.125,0.511,0.691,3.2,8.9,1.2,0.8,0.8,12.6,80
42,Kevin Garnett\garneke01,0.467,0.1,0.14300000000000002,0.475,0.8,1.0,6.6,1.6,1.0,0.4,6.9,83
43,Kevin Love\loveke01,0.434,5.2,0.36700000000000005,0.48,0.804,1.9,9.7,2.2,0.7,0.5,16.4,82
44,Kris Humphries\humphkr01,0.473,0.1,0.0,0.48100000000000004,0.7440000000000001,1.8,6.5,0.9,0.5,0.4,8.0,81
45,Kyle O'Quinn\oquinky01,0.49200000000000005,0.8,0.27899999999999997,0.5379999999999999,0.772,0.9,3.9,1.2,0.6,0.8,5.8,82
46,LaMarcus Aldridge\aldrila01,0.466,1.5,0.35200000000000004,0.475,0.845,2.5,10.2,1.7,0.7,1.0,23.4,83
47,Lance Thomas\thomala01,0.41200000000000003,0.4,0.318,0.41700000000000004,0.727,1.0,3.1,1.1,0.6,0.1,7.1,80
48,Lou Amundson\amundlo01,0.42700000000000005,0.0,0.0,0.429,0.47100000000000003,1.8,5.1,1.3,0.4,1.0,4.9,81
49,Luc Mbah a Moute\mbahalu01,0.395,3.0,0.307,0.435,0.589,1.2,4.9,1.6,1.2,0.3,9.9,80
50,Luis Scola\scolalu01,0.467,0.2,0.25,0.474,0.6990000000000001,1.7,6.5,1.3,0.6,0.2,9.4,81
51,Marcus Morris\morrima03,0.434,3.9,0.358,0.48700000000000004,0.628,0.9,4.8,1.6,0.8,0.2,10.4,81
52,Markieff Morris\morrima02,0.465,2.2,0.318,0.494,0.763,1.3,6.2,2.3,1.2,0.5,15.3,82
53,Marvin Williams\willima02,0.424,3.4,0.358,0.5,0.713,0.7,4.9,1.3,0.9,0.5,7.4,81
54,Matt Bonner\bonnema01,0.409,1.8,0.365,0.462,0.8109999999999999,0.4,1.6,0.7,0.1,0.2,3.7,82
55,Mike Muscala\muscami01,0.55,0.6,0.409,0.574,0.88,1.3,3.0,0.6,0.4,0.5,4.9,83
56,Mike Scott\scottmi01,0.444,2.8,0.344,0.517,0.792,0.7,2.9,1.1,0.4,0.0,7.8,80
57,Mirza Teletovic\teletmi01,0.382,4.8,0.321,0.47600000000000003,0.7170000000000001,0.7,4.9,1.2,0.4,0.4,8.5,81
58,Mitch McGary\mcgarmi01,0.5329999999999999,0.1,0.0,0.54,0.625,1.7,5.2,0.4,0.5,0.5,6.3,82
59,Nene Hilario\hilarne01,0.511,0.1,0.2,0.513,0.604,1.3,5.1,1.8,1.0,0.3,11.0,83
60,Nick Collison\collini01,0.419,0.9,0.267,0.466,0.6920000000000001,1.4,3.8,1.4,0.5,0.4,4.1,82
61,Nikola Mirotic\mirotni01,0.405,3.8,0.316,0.495,0.8029999999999999,0.8,4.9,1.2,0.7,0.7,10.2,82
62,Patrick Patterson\pattepa01,0.449,3.5,0.371,0.536,0.7879999999999999,1.6,5.3,1.9,0.7,0.5,8.0,81
63,Pau Gasol\gasolpa01,0.494,0.3,0.462,0.495,0.8029999999999999,2.8,11.8,2.7,0.3,1.9,18.5,84
64,Paul Millsap\millspa01,0.47600000000000003,3.0,0.35600000000000004,0.513,0.757,1.9,7.8,3.1,1.8,0.9,16.7,80
65,Quincy Acy\acyqu01,0.45899999999999996,0.9,0.3,0.494,0.784,1.2,4.4,1.0,0.4,0.3,5.9,79
66,Reggie Evans\evansre01,0.423,0.0,0.0,0.43,0.619,2.1,6.4,0.7,0.5,0.1,3.7,80
67,Ryan Anderson\anderry01,0.39899999999999997,5.9,0.34,0.457,0.8540000000000001,1.8,4.8,0.9,0.5,0.3,13.7,82
68,Ryan Kelly\kellyry01,0.337,2.6,0.336,0.337,0.8320000000000001,0.3,2.8,1.8,0.6,0.5,6.4,83
69,Serge Ibaka\ibakase01,0.47600000000000003,3.2,0.376,0.511,0.836,2.1,7.8,0.9,0.5,2.4,14.3,82
70,Spencer Hawes\hawessp01,0.39299999999999996,2.4,0.313,0.452,0.647,0.4,3.5,1.2,0.3,0.7,5.8,85
72,Terrence Jones\joneste01,0.528,1.1,0.35100000000000003,0.5529999999999999,0.606,2.4,6.7,1.1,0.5,1.8,11.7,81
73,Thaddeus Young\youngth01,0.466,1.5,0.33,0.484,0.655,1.7,5.4,2.3,1.6,0.3,14.1,80
74,Thomas Robinson\robinth01,0.485,0.0,0.0,0.488,0.528,1.8,5.6,0.6,0.6,0.4,5.7,82
75,Trevor Booker\booketr01,0.48700000000000004,1.1,0.345,0.518,0.581,1.8,5.0,1.1,0.5,0.5,7.2,80
77,Tyler Hansbrough\hansbty01,0.521,0.1,0.14300000000000002,0.5379999999999999,0.698,1.4,3.6,0.3,0.4,0.2,3.6,81
78,Udonis Haslem\hasleud01,0.44799999999999995,0.2,0.2,0.45899999999999996,0.703,1.1,4.2,0.7,0.3,0.2,4.2,80
79,Zach Randolph\randoza01,0.48700000000000004,0.3,0.35,0.49,0.765,3.2,10.5,2.2,1.0,0.2,16.1,81
80,Aaron Gordon\gordoaa01,0.473,1.8,0.29600000000000004,0.531,0.6679999999999999,2.0,6.5,1.6,0.8,0.7,9.2,81
81,Amir Johnson\johnsam01,0.585,0.5,0.233,0.624,0.57,2.3,6.4,1.7,0.7,1.1,7.3,81
82,Andrew Nicholson\nichoan01,0.47100000000000003,2.0,0.36,0.536,0.785,0.6,3.6,0.4,0.2,0.4,6.9,81
83,Anthony Tolliver\tollian01,0.386,3.8,0.36,0.5,0.617,0.5,3.2,0.7,0.4,0.2,5.3,80
84,Blake Griffin\griffbl01,0.499,0.5,0.33299999999999996,0.504,0.727,1.5,8.4,4.9,0.8,0.5,21.4,82
85,Bobby Portis\portibo01,0.42700000000000005,0.8,0.308,0.44299999999999995,0.727,2.0,5.4,0.8,0.4,0.4,7.0,83
86,Boris Diaw\diawbo01,0.527,0.9,0.36200000000000004,0.564,0.737,0.8,3.1,2.3,0.3,0.3,6.4,80
87,Brandon Bass\bassbr01,0.5489999999999999,0.0,0.0,0.552,0.845,1.6,4.3,1.1,0.5,0.8,7.2,80
88,Carl Landry\landrca01,0.556,0.4,0.462,0.561,0.736,1.4,4.1,0.9,0.3,0.3,9.8,81
89,Charlie Villanueva\villach01,0.382,2.8,0.273,0.503,0.917,0.4,2.5,0.4,0.3,0.2,5.1,83
90,Chris Bosh\boshch01,0.467,4.2,0.365,0.508,0.795,0.9,7.4,2.4,0.7,0.6,19.1,83
91,Darrell Arthur\arthuda01,0.452,1.7,0.385,0.473,0.755,1.2,4.2,1.4,0.8,0.7,7.5,81
92,David Lee\leeda02,0.531,0.0,0.0,0.5329999999999999,0.763,1.8,5.5,1.5,0.4,0.5,7.8,81
93,David West\westda01,0.545,0.1,0.429,0.546,0.7879999999999999,0.9,4.0,1.8,0.6,0.7,7.1,81
94,Derrick Favors\favorde01,0.515,0.1,0.0,0.518,0.7090000000000001,2.7,8.1,1.5,1.2,1.5,16.4,82
95,Dirk Nowitzki\nowitdi01,0.44799999999999995,4.6,0.368,0.483,0.893,0.7,6.5,1.8,0.7,0.7,18.3,84
96,Donatas Motiejunas\motiedo01,0.439,1.5,0.281,0.5,0.642,1.0,2.9,1.1,0.5,0.1,6.2,84
97,Draymond Green\greendr01,0.49,3.2,0.38799999999999996,0.537,0.696,1.7,9.5,7.4,1.5,1.4,14.0,79
98,Drew Gooden\goodedr01,0.32,1.4,0.171,0.419,0.643,0.9,2.8,0.4,0.3,0.4,2.7,82
99,Dwight Powell\poweldw01,0.493,0.2,0.125,0.514,0.7390000000000001,1.2,4.0,0.6,0.5,0.3,5.8,83
101,Ersan Ilyasova\ilyaser01,0.424,3.5,0.371,0.45799999999999996,0.721,1.9,5.4,0.9,0.7,0.4,10.4,82
102,Jabari Parker\parkeja01,0.493,0.5,0.257,0.502,0.768,1.6,5.2,1.7,0.9,0.4,14.1,80
103,James Johnson\johnsja01,0.475,1.2,0.303,0.54,0.574,0.5,2.2,1.2,0.5,0.6,5.0,80
104,JaMychal Green\greenja01,0.465,0.6,0.33299999999999996,0.478,0.752,1.8,4.8,0.9,0.6,0.4,7.4,81
105,Jared Dudley\dudleja01,0.478,2.9,0.42,0.534,0.735,0.7,3.5,2.1,0.9,0.2,7.9,79
106,Jared Sullinger\sullija01,0.435,1.3,0.282,0.45799999999999996,0.64,2.4,8.3,2.3,0.9,0.6,10.3,81
107,Jerami Grant\grantje01,0.419,1.9,0.24,0.47700000000000004,0.6579999999999999,1.3,4.7,1.8,0.7,1.6,9.7,81
108,Johnny O'Bryant\obryajo01,0.41100000000000003,0.0,1.0,0.409,0.675,1.0,2.7,0.5,0.3,0.1,3.0,81
109,Jon Leuer\leuerjo01,0.48100000000000004,1.6,0.382,0.511,0.762,1.1,5.6,1.1,0.6,0.4,8.5,82
110,Jonas Jerebko\jerebjo01,0.413,1.4,0.39799999999999996,0.42100000000000004,0.782,1.0,3.7,0.8,0.3,0.3,4.4,82
111,Josh McRoberts\mcrobjo01,0.37200000000000005,1.2,0.245,0.434,0.7,0.5,2.5,1.9,0.4,0.2,3.6,82
112,Josh Smith\smithjo03,0.364,2.6,0.287,0.41700000000000004,0.552,0.9,3.5,1.6,0.6,0.9,6.0,81
113,Julius Randle\randlju01,0.429,0.4,0.278,0.436,0.715,2.1,10.2,1.8,0.7,0.4,11.3,81
114,Kenneth Faried\farieke01,0.5579999999999999,0.0,0.5,0.5579999999999999,0.613,3.5,8.7,1.2,0.5,0.9,12.5,80
115,Kevin Garnett\garneke01,0.47,0.0,0.0,0.474,0.667,0.4,3.9,1.6,0.7,0.3,3.2,83
116,Kevin Love\loveke01,0.419,5.7,0.36,0.467,0.8220000000000001,1.9,9.9,2.4,0.8,0.5,16.0,82
117,Kris Humphries\humphkr01,0.41,2.0,0.315,0.465,0.7979999999999999,1.1,4.1,0.7,0.3,0.4,6.5,81
118,Kristaps Porzingis\porzikr01,0.42100000000000004,3.4,0.33299999999999996,0.45399999999999996,0.838,1.8,7.3,1.3,0.7,1.9,14.3,87
119,Kyle O'Quinn\oquinky01,0.47600000000000003,0.3,0.22699999999999998,0.498,0.767,1.2,3.8,1.1,0.3,0.8,4.8,82
120,LaMarcus Aldridge\aldrila01,0.513,0.2,0.0,0.521,0.858,2.4,8.5,1.5,0.5,1.1,18.0,83
121,Lance Thomas\thomala01,0.442,1.8,0.40399999999999997,0.45799999999999996,0.857,0.6,2.2,0.9,0.4,0.1,8.2,80
122,Larry Nance\nancela02,0.527,0.2,0.1,0.541,0.6809999999999999,1.6,5.0,0.7,0.9,0.4,5.5,81
124,Luc Mbah a Moute\mbahalu01,0.45399999999999996,0.5,0.325,0.485,0.526,0.8,2.3,0.4,0.6,0.3,3.1,80
125,Luis Scola\scolalu01,0.45,2.1,0.40399999999999997,0.467,0.726,1.1,4.7,0.9,0.6,0.4,8.7,81
126,Luol Deng\denglu01,0.455,3.5,0.344,0.513,0.755,1.5,6.0,1.9,1.0,0.4,12.3,81
127,Markieff Morris\morrima02,0.425,2.4,0.303,0.45799999999999996,0.735,1.1,5.5,1.9,0.9,0.5,12.0,82
128,Marvin Williams\willima02,0.452,4.7,0.402,0.504,0.833,1.6,6.4,1.4,0.7,1.0,11.7,81
129,Meyers Leonard\leoname01,0.44799999999999995,3.7,0.377,0.527,0.7609999999999999,0.8,5.1,1.5,0.1,0.3,8.4,85
130,Mike Scott\scottmi01,0.46799999999999997,2.1,0.392,0.523,0.794,0.7,2.7,1.0,0.3,0.2,6.2,80
131,Mirza Teletovic\teletmi01,0.42700000000000005,5.8,0.39299999999999996,0.47600000000000003,0.774,0.7,3.8,1.1,0.4,0.3,12.2,81
132,Nemanja Bjelica\bjeline01,0.46799999999999997,2.1,0.384,0.564,0.727,0.8,3.5,1.4,0.4,0.4,5.1,82
133,Nene Hilario\hilarne01,0.544,0.1,0.0,0.5489999999999999,0.578,0.9,4.5,1.7,0.9,0.5,9.2,83
134,Nick Collison\collini01,0.45899999999999996,0.0,0.0,0.467,0.6970000000000001,1.2,2.9,0.9,0.3,0.3,2.1,82
135,Nikola Mirotic\mirotni01,0.40700000000000003,5.2,0.39,0.43,0.807,0.9,5.5,1.5,0.9,0.7,11.8,82
136,Noah Vonleh\vonleno01,0.42100000000000004,0.6,0.239,0.457,0.745,1.2,3.9,0.4,0.3,0.3,3.6,81
137,Omri Casspi\casspom01,0.48100000000000004,4.0,0.409,0.537,0.648,0.8,5.9,1.4,0.8,0.2,11.8,81
138,Patrick Patterson\pattepa01,0.414,3.7,0.36200000000000004,0.49,0.853,1.0,4.3,1.2,0.7,0.4,6.9,81
139,Paul Millsap\millspa01,0.47,2.9,0.319,0.512,0.757,2.4,9.0,3.3,1.8,1.7,17.1,80
140,Quincy Acy\acyqu01,0.556,0.8,0.38799999999999996,0.606,0.735,1.1,3.2,0.5,0.5,0.4,5.2,79
141,Richaun Holmes\holmeri01,0.514,0.9,0.182,0.596,0.6890000000000001,1.2,2.6,0.6,0.4,0.8,5.6,82
142,Ryan Anderson\anderry01,0.42700000000000005,5.4,0.366,0.466,0.873,2.0,6.0,1.1,0.6,0.4,17.0,82
143,Ryan Kelly\kellyry01,0.369,1.0,0.135,0.446,0.685,0.6,3.4,0.6,0.4,0.3,4.2,83
144,Serge Ibaka\ibakase01,0.479,2.4,0.326,0.52,0.752,1.8,6.8,0.8,0.5,1.9,12.6,82
145,Spencer Hawes\hawessp01,0.405,1.8,0.373,0.42200000000000004,0.831,0.9,4.3,1.9,0.4,0.5,6.0,85
146,Taj Gibson\gibsota01,0.526,0.0,0.0,0.529,0.6920000000000001,2.8,6.9,1.5,0.6,1.1,8.6,81
147,Terrence Jones\joneste01,0.452,1.6,0.316,0.49,0.664,1.2,4.2,0.8,0.5,0.8,8.7,81
148,Thaddeus Young\youngth01,0.514,0.4,0.233,0.523,0.644,2.4,9.0,1.8,1.5,0.5,15.1,80
149,Thomas Robinson\robinth01,0.447,0.0,0.0,0.44799999999999995,0.431,1.9,5.1,0.6,0.5,0.5,4.3,82
150,Tobias Harris\harrito02,0.469,3.1,0.335,0.518,0.831,1.3,6.7,2.2,0.9,0.5,14.7,81
151,Trevor Booker\booketr01,0.49,0.5,0.293,0.513,0.67,2.1,5.7,1.1,0.7,0.5,5.9,80
152,Trey Lyles\lylestr01,0.43799999999999994,1.6,0.38299999999999995,0.461,0.695,0.7,3.7,0.7,0.3,0.2,6.1,82
154,Zach Randolph\randoza01,0.475,0.4,0.231,0.48200000000000004,0.7959999999999999,2.6,7.8,2.1,0.6,0.2,15.3,81
155,Al-Farouq Aminu\aminual01,0.39299999999999996,3.5,0.33,0.445,0.706,1.3,7.4,1.6,1.0,0.7,8.7,81
156,Amir Johnson\johnsam01,0.5760000000000001,0.8,0.409,0.612,0.67,1.5,4.6,1.8,0.6,0.8,6.5,81
157,Anthony Tolliver\tollian01,0.442,3.5,0.391,0.537,0.7440000000000001,0.8,3.6,1.2,0.5,0.3,7.1,80
158,Blake Griffin\griffbl01,0.493,1.9,0.336,0.514,0.76,1.8,8.1,4.9,0.9,0.4,21.6,82
159,Bobby Portis\portibo01,0.488,1.5,0.33299999999999996,0.541,0.6609999999999999,1.2,4.6,0.5,0.3,0.2,6.8,83
160,Boris Diaw\diawbo01,0.446,1.1,0.247,0.512,0.743,0.6,2.2,2.3,0.2,0.1,4.6,80
161,Brandon Bass\bassbr01,0.575,0.1,0.33299999999999996,0.579,0.875,0.8,2.5,0.4,0.3,0.2,5.6,80
162,Dante Cunningham\cunnida01,0.485,2.7,0.392,0.579,0.593,0.8,4.2,0.6,0.6,0.4,6.6,80
163,Dario Saric\saricda01,0.41100000000000003,4.2,0.311,0.469,0.782,1.4,6.3,2.2,0.7,0.4,12.8,82
164,Darrell Arthur\arthuda01,0.442,2.9,0.45299999999999996,0.429,0.8640000000000001,0.6,2.7,1.0,0.5,0.5,6.4,81
166,Davis Bertans\bertada01,0.44,2.6,0.39899999999999997,0.557,0.8240000000000001,0.3,1.5,0.7,0.3,0.4,4.5,82
167,Derrick Favors\favorde01,0.48700000000000004,0.2,0.3,0.491,0.615,1.8,6.1,1.1,0.9,0.8,9.5,82
168,Derrick Williams\willide02,0.44299999999999995,1.9,0.309,0.531,0.652,0.4,2.6,0.6,0.3,0.1,6.1,80
169,Dirk Nowitzki\nowitdi01,0.43700000000000006,3.9,0.37799999999999995,0.46299999999999997,0.875,0.4,6.5,1.5,0.6,0.7,14.2,84
170,Domantas Sabonis\sabondo01,0.39899999999999997,2.0,0.321,0.43799999999999994,0.657,0.6,3.6,1.0,0.5,0.4,5.9,83
171,Donatas Motiejunas\motiedo01,0.413,1.4,0.23399999999999999,0.505,0.51,0.8,3.0,0.9,0.5,0.3,4.4,84
172,Dorian Finney-Smith\finnedo01,0.37200000000000005,2.4,0.293,0.479,0.754,0.7,2.7,0.8,0.6,0.3,4.3,80
173,Dragan Bender\bendedr01,0.354,2.3,0.27699999999999997,0.483,0.364,0.5,2.4,0.5,0.2,0.5,3.4,85
174,Draymond Green\greendr01,0.418,3.5,0.308,0.494,0.7090000000000001,1.3,7.9,7.0,2.0,1.4,10.2,79
176,Ersan Ilyasova\ilyaser01,0.431,4.9,0.353,0.496,0.778,1.4,5.9,1.7,0.7,0.3,13.1,82
177,Gorgui Dieng\dienggo01,0.502,0.5,0.37200000000000005,0.511,0.8140000000000001,2.3,7.9,1.9,1.1,1.2,10.0,83
178,Harrison Barnes\barneha02,0.46799999999999997,2.8,0.35100000000000003,0.49200000000000005,0.861,1.2,5.0,1.5,0.8,0.2,19.2,80
179,Jabari Parker\parkeja01,0.49,3.5,0.365,0.525,0.743,1.5,6.2,2.8,1.0,0.4,20.1,80
180,James Johnson\johnsja01,0.479,3.4,0.34,0.5479999999999999,0.7070000000000001,0.9,4.9,3.6,1.0,1.1,12.8,80
181,JaMychal Green\greenja01,0.5,1.9,0.379,0.5489999999999999,0.802,2.2,7.1,1.1,0.6,0.4,8.9,81
182,Jared Dudley\dudleja01,0.45399999999999996,3.2,0.379,0.5589999999999999,0.662,0.5,3.5,1.9,0.7,0.3,6.8,79
183,Jarell Martin\martija01,0.384,0.6,0.36,0.389,0.8,1.0,3.9,0.2,0.4,0.2,3.9,82
184,Jeff Green\greenje02,0.39399999999999996,2.8,0.275,0.45799999999999996,0.863,0.6,3.1,1.2,0.5,0.2,9.2,81
185,Jerami Grant\grantje01,0.46299999999999997,1.5,0.371,0.514,0.612,0.5,2.6,0.6,0.4,1.0,5.5,81
186,Jon Leuer\leuerjo01,0.48,2.2,0.293,0.545,0.867,1.4,5.4,1.5,0.4,0.3,10.2,82
187,Jonas Jerebko\jerebjo01,0.435,1.7,0.34600000000000003,0.523,0.703,0.8,3.5,0.9,0.3,0.2,3.8,82
188,Juan Hernangomez\hernaju01,0.451,1.8,0.40700000000000003,0.495,0.75,0.7,3.0,0.5,0.5,0.2,4.9,81
189,Julius Randle\randlju01,0.488,0.9,0.27,0.507,0.723,2.0,8.6,3.6,0.7,0.5,13.2,81
190,Kenneth Faried\farieke01,0.5479999999999999,0.1,0.0,0.556,0.693,3.0,7.6,0.9,0.7,0.7,9.6,80
191,Kevin Durant\duranke01,0.537,5.0,0.375,0.608,0.875,0.6,8.3,4.8,1.1,1.6,25.1,81
192,Kevin Love\loveke01,0.42700000000000005,6.5,0.373,0.47100000000000003,0.871,2.5,11.1,1.9,0.9,0.4,19.0,82
193,Kevin Seraphin\serapke01,0.551,0.0,0.0,0.556,0.636,0.8,2.9,0.5,0.1,0.4,4.7,81
194,Kris Humphries\humphkr01,0.40700000000000003,1.0,0.35200000000000004,0.425,0.78,1.1,3.7,0.5,0.3,0.4,4.6,81
195,Kristaps Porzingis\porzikr01,0.45,4.8,0.35700000000000004,0.493,0.7859999999999999,1.7,7.2,1.5,0.7,2.0,18.1,87
196,LaMarcus Aldridge\aldrila01,0.47700000000000004,0.8,0.41100000000000003,0.48,0.812,2.4,7.3,1.9,0.6,1.2,17.3,83
197,Lance Thomas\thomala01,0.39799999999999996,1.8,0.447,0.371,0.843,0.7,3.1,0.8,0.5,0.1,6.0,80
198,Larry Nance\nancela02,0.526,0.6,0.278,0.5539999999999999,0.738,1.9,5.9,1.5,1.3,0.6,7.1,81
199,Lavoy Allen\allenla01,0.45799999999999996,0.0,0.0,0.461,0.6970000000000001,1.7,3.6,0.9,0.3,0.4,2.9,81
200,Luis Scola\scolalu01,0.47,1.4,0.34,0.535,0.6759999999999999,1.4,3.9,1.0,0.4,0.1,5.1,81
201,Markieff Morris\morrima02,0.457,2.6,0.36200000000000004,0.483,0.8370000000000001,1.4,6.5,1.7,1.1,0.6,14.0,82
202,Marquese Chriss\chrisma01,0.449,2.7,0.321,0.52,0.624,1.2,4.2,0.7,0.8,0.9,9.2,82
203,Marvin Williams\willima02,0.42200000000000004,4.7,0.35,0.494,0.873,1.2,6.6,1.4,0.8,0.7,11.2,81
204,Maurice Ndour\ndourma01,0.45299999999999996,0.2,0.14300000000000002,0.48100000000000004,0.731,0.7,2.0,0.3,0.5,0.3,3.1,81
205,Meyers Leonard\leoname01,0.386,2.9,0.34700000000000003,0.436,0.875,0.4,3.2,1.0,0.2,0.4,5.4,85
206,Michael Beasley\beaslmi01,0.532,0.8,0.419,0.545,0.743,0.7,3.4,0.9,0.5,0.5,9.4,81
207,Mirza Teletovic\teletmi01,0.373,4.4,0.341,0.46,0.778,0.2,2.3,0.7,0.2,0.2,6.4,81
208,Nemanja Bjelica\bjeline01,0.424,2.7,0.316,0.531,0.738,0.9,3.8,1.2,0.6,0.3,6.2,82
209,Nikola Mirotic\mirotni01,0.413,5.4,0.342,0.52,0.773,0.9,5.5,1.1,0.8,0.8,10.6,82
210,Noah Vonleh\vonleno01,0.48100000000000004,0.3,0.35,0.49200000000000005,0.638,1.8,5.2,0.4,0.4,0.4,4.4,81
211,Okaro White\whiteok01,0.379,1.0,0.353,0.396,0.909,0.7,2.3,0.6,0.3,0.3,2.8,80
212,Omri Casspi\casspom01,0.47,1.2,0.349,0.512,0.586,0.8,3.1,1.0,0.6,0.1,5.2,81
213,Pascal Siakam\siakapa01,0.502,0.1,0.14300000000000002,0.515,0.688,1.2,3.4,0.3,0.5,0.8,4.2,81
214,Patrick Patterson\pattepa01,0.401,3.9,0.37200000000000005,0.45799999999999996,0.7170000000000001,1.0,4.5,1.2,0.6,0.4,6.8,81
215,Paul Millsap\millspa01,0.442,3.5,0.311,0.486,0.768,1.6,7.7,3.7,1.3,0.9,18.1,80
216,Quincy Acy\acyqu01,0.41200000000000003,2.4,0.41100000000000003,0.413,0.75,0.5,3.0,0.5,0.4,0.4,5.8,79
217,Ryan Anderson\anderry01,0.418,7.0,0.40299999999999997,0.446,0.86,1.6,4.6,0.9,0.4,0.2,13.6,82
218,Sam Dekker\dekkesa01,0.473,2.4,0.321,0.591,0.5589999999999999,1.2,3.7,1.0,0.5,0.3,6.5,81
219,Serge Ibaka\ibakase01,0.48,4.0,0.391,0.522,0.856,1.6,6.8,0.9,0.5,1.6,14.8,82
